# Snapshot of LLE THROUGH-PORT spectrum
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, P_in_W=0.00943581514737261, kappa_ex=1516139.3812852972
# columns: mu, f_Hz, f_THz, lambda_m, lambda_nm, P_through_dBm, P_through_W
-2.180000000000000000e+02,1.853672615582743125e+14,1.853672615582743219e+02,1.617289134444884713e-06,1.617289134444884667e+03,-1.638257255687139775e+02,4.144073438945220364e-20
-2.170000000000000000e+02,1.854024615582743125e+14,1.854024615582742967e+02,1.616982080390402295e-06,1.616982080390402189e+03,-1.665914685488879172e+02,2.192063572752233305e-20
-2.160000000000000000e+02,1.854376615582743125e+14,1.854376615582743000e+02,1.616675142906660204e-06,1.616675142906660312e+03,-1.561088808059954260e+02,2.449694456428844216e-19
-2.150000000000000000e+02,1.854728615582743125e+14,1.854728615582743032e+02,1.616368321927287689e-06,1.616368321927287752e+03,-1.667322112939262411e+02,2.122163646407017232e-20
-2.140000000000000000e+02,1.855080615582743125e+14,1.855080615582743064e+02,1.616061617385965249e-06,1.616061617385965292e+03,-1.592703949025522832e+02,1.182933987034016039e-19
-2.130000000000000000e+02,1.855432615582743125e+14,1.855432615582743097e+02,1.615755029216423354e-06,1.615755029216423281e+03,-1.598251798384806364e+02,1.041074996501760942e-19
-2.120000000000000000e+02,1.855784615582743125e+14,1.855784615582743129e+02,1.615448557352442875e-06,1.615448557352442776e+03,-1.672508171703700270e+02,1.883294694607387727e-20
-2.110000000000000000e+02,1.856136615582743125e+14,1.856136615582743161e+02,1.615142201727854445e-06,1.615142201727854399e+03,-1.524847348866290702e+02,5.643213890725462311e-19
-2.100000000000000000e+02,1.856488615582743125e+14,1.856488615582743193e+02,1.614835962276539730e-06,1.614835962276539703e+03,-1.615730091015650487e+02,6.961440088099588345e-20
-2.090000000000000000e+02,1.856840615582743125e+14,1.856840615582743226e+02,1.614529838932429737e-06,1.614529838932429811e+03,-1.560666447580030649e+02,2.473634470242658830e-19
-2.080000000000000000e+02,1.857192615582743125e+14,1.857192615582742974e+02,1.614223831629506084e-06,1.614223831629506094e+03,-1.571193630464061357e+02,1.941170556525611619e-19
-2.070000000000000000e+02,1.857544615582743125e+14,1.857544615582743006e+02,1.613917940301800149e-06,1.613917940301800172e+03,-1.568790715875578599e+02,2.051600712615404068e-19
-2.060000000000000000e+02,1.857896615582743125e+14,1.857896615582743038e+02,1.613612164883393500e-06,1.613612164883393461e+03,-1.501827936292703214e+02,9.587836888765659618e-19
