# Snapshot of intracavity temporal pulse
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, S=3.4641016151377544
# columns: tau_ps, |E(tau)|^2_norm
9.256582458637252486e+00,8.649881742842563392e-02
9.312177548478915767e+00,8.662208244315071359e-02
9.367772638320584377e+00,8.675926486712619290e-02
9.423367728162247658e+00,8.690668163041749550e-02
9.478962818003912716e+00,8.706021627113828820e-02
9.534557907845579550e+00,8.721537705266815821e-02
9.590152997687244607e+00,8.736736978856309010e-02
9.645748087528907888e+00,8.751119152540712265e-02
9.701343177370574722e+00,8.764175039888728869e-02
9.756938267212239779e+00,8.775401364725210485e-02
9.812533357053903060e+00,8.784318282384241672e-02
9.868128446895568118e+00,8.790489038030285807e-02
9.923723536737234951e+00,8.793540830511452355e-02
9.979318626578900009e+00,8.793185514835999417e-02
1.003491371642056329e+01,8.789238604538583688e-02
1.009050880626223190e+01,8.781634877068682232e-02
1.014610389610389518e+01,8.770439071980003221e-02
1.020169898594556024e+01,8.755850389999686456e-02
1.025729407578722707e+01,8.738200038681533111e-02
1.031288916562889035e+01,8.717941539575008170e-02
1.036848425547055541e+01,8.695634173670167832e-02
1.042407934531222224e+01,8.671920367183424960e-02
1.047967443515388730e+01,8.647498294250759165e-02
1.053526952499555058e+01,8.623091082772726956e-02
1.059086461483721919e+01,8.599414112526020115e-02
1.064645970467888247e+01,8.577141623965907347e-02
1.070205479452054753e+01,8.556873650199142700e-02
1.075764988436221081e+01,8.539103805741693476e-02
1.081324497420387765e+01,8.524188197163566627e-02
1.086884006404554270e+01,8.512315304842901775e-02
1.092443515388720598e+01,8.503476603207664464e-02
1.098003024372887459e+01,8.497437519008869955e-02
1.103562533357053788e+01,8.493708532967499114e-02
1.109122042341220293e+01,8.491516320301499554e-02
1.114681551325386977e+01,8.489775257947215770e-02
1.120241060309553482e+01,8.487059877196667657e-02
1.125800569293719811e+01,8.481579424953997193e-02
1.131360078277886494e+01,8.471156132761721580e-02
1.136919587262053000e+01,8.453209761877186756e-02
1.142479096246219328e+01,8.424752189265284630e-02
1.148038605230385834e+01,8.382398278315758566e-02
1.153598114214552517e+01,8.322403194156118011e-02
1.159157623198719023e+01,8.240743541316060405e-02
